X,Y,Z,Scat_Angle,DoCA
95.3705,75.7331,-60.9071,0.00725397,0.232613
87.3689,80.7372,-55.4747,-0.00964057,0.54373
76.5394,96.4361,-47.112,0.0106994,0.751509
65.6537,66.9299,-66.3744,-0.0225564,0.0294367
95.012,69.2959,-80.5043,0.00969589,0.272334
54.9824,51.4287,-83.6534,-0.00258143,0.0144856
98.622,51.4495,-83.46,-0.000754747,0.0107516
51.6601,60.6276,-64.5461,0.00851995,0.0215967
67.1093,86.4653,-85.3642,0.0161058,0.523525
95.351,51.3512,-88.032,0.00422599,0.0364249
81.8418,90.446,-67.2616,-0.00768015,0.164077
84.1206,58.0112,-46.3957,0.00878119,0.717917
63.9643,51.8791,-78.1218,-0.0134656,0.113604
60.3099,63.2008,-77.328,-0.059607,0.127245
81.3239,82.6256,-55.3648,-0.0945539,0.871441
99.4829,96.3103,-59.8846,-0.0614719,5.86272
69.5691,74.5907,-46.7991,0.00882891,0.644452
55.5405,67.8824,-59.1625,0.031813,0.0895547
68.9816,79.4885,-72.5368,0.00438775,0.197097
63.3056,68.5778,-76.4241,0.00265173,0.099186
82.1036,76.3334,-58.6558,-0.0466637,1.20946
62.7434,96.0918,-54.1071,-0.175936,3.19718
71.6085,99.315,-57.9702,0.00327522,0.231078
51.6417,63.2183,-59.2761,-0.0826424,0.364033
99.39,53.7758,-60.7312,0.0462818,0.495476
95.2941,99.0925,-47.202,-0.00539002,0.850781
79.0668,70.3094,-47.8221,0.0122171,1.00165
54.8549,75.5002,-89.622,-0.0195119,0.28821
66.9687,60.6003,-56.5904,0.00070585,0.170744
91.3006,82.7111,-57.9976,0.0199674,2.01778
67.5026,53.8448,-81.6665,-0.00282623,0.0423701
82.5041,66.5319,-53.1821,0.000369969,0.00439323
86.4344,68.661,-60.431,0.0137348,1.16966
55.822,84.3293,-88.4341,0.236711,1.43639
79.6575,68.6109,-56.8767,-0.00954357,1.63189
69.1167,99.355,-71.4428,0.00534547,0.0538456
86.0848,96.378,-61.0679,-0.064188,1.6105
93.6167,63.2304,-80.217,0.0006486,0.0049038
94.0396,83.1782,-58.3394,0.00125982,0.0922882
99.3607,90.3977,-66.8008,0.00347794,0.239293
96.921,85.11,-47.7352,0.00242484,0.0912275
99.8798,67.3603,-82.5476,0.0269961,0.487466
58.6159,67.0038,-82.0012,0.00687475,0.0984898
95.5367,76.3074,-58.6161,-0.0377418,2.11954
62.8536,67.5269,-70.4094,0.00124191,0.0920432
53.9081,79.0664,-64.3829,0.00584735,0.0738231
84.3557,52.8627,-67.1628,-0.123209,3.78853
97.5333,61.0321,-56.2232,0.00362052,0.753168
67.9633,77.9085,-74.2386,0.0477068,3.4886
83.792,64.059,-52.2306,-0.0171532,1.14718
79.748,71.5417,-85.5195,-0.00220681,0.0446739
74.8927,92.0616,-72.5075,0.154528,3.9336
67.2266,58.4856,-74.4451,-0.00517115,0.105646
60.6799,80.4472,-55.8014,0.0145701,0.171813
98.9829,57.7678,-48.3438,0.0050245,0.267575
90.8389,56.8559,-69.3535,0.0120049,0.129832
53.3854,99.344,-88.6428,0.00389257,0.00548833
74.8454,65.7143,-60.21,-0.00286412,0.0433707
60.1633,62.9159,-86.4613,-0.0016159,0.027099
64.8346,99.9076,-83.5452,-0.00944786,0.335471
57.2154,51.2991,-69.6373,0.00325948,0.0242035
79.7541,50.8404,-55.9076,-0.00167278,0.0147926
82.6904,64.8055,-80.0768,-0.00739658,0.389383
77.7686,62.0113,-45.7834,0.0103624,0.310647
89.533,71.3827,-72.5077,0.0163516,0.386592
74.2062,99.8712,-66.8131,-0.101176,1.77337
52.4714,59.0259,-49.5922,0.0218425,2.20244
56.926,56.7907,-83.2982,0.00387272,1.45713
74.132,78.8076,-65.7001,-0.0177056,0.134958
87.1641,63.7041,-74.2754,-0.000496702,0.0125045
56.3743,62.1506,-46.2125,-0.0113805,0.127255
70.5673,82.7512,-49.5595,-0.0142106,0.396123
83.4468,63.1836,-73.5243,0.00456292,0.0257309
79.2999,72.7019,-81.0959,0.0062336,0.0270173
98.6828,62.3432,-70.8871,-0.000676625,0.0152705
57.4253,99.2196,-46.1895,0.107294,7.15144
97.8006,76.5554,-64.883,0.00494739,0.212806
75.8756,53.9617,-58.0518,-0.00211253,0.0200449
53.5037,64.6466,-80.0388,-0.00266622,0.00155561
85.4784,64.0271,-74.3434,-0.00455696,0.00898005
53.7167,98.4583,-77.8903,-0.00292687,0.0478147
96.8586,60.3973,-50.902,0.00278959,0.0617008
67.6384,73.3321,-80.6101,-0.0148407,0.114939
62.7831,66.7604,-89.5886,0.0129735,1.39218
74.2213,65.9008,-77.0808,0.0052349,0.23641
73.3914,58.9791,-86.0111,0.0242139,0.192306
77.4791,55.7952,-45.9258,-0.00625617,0.221554
64.5401,69.0556,-47.3097,0.0117289,0.192165
72.9233,61.5227,-84.575,-0.02011,0.641003
67.3363,83.6459,-52.4764,-0.00475505,0.465558
73.8491,58.8117,-53.6736,0.000830359,0.00565431
54.7224,88.3679,-83.2519,-0.0219187,0.0748773
63.3009,65.9635,-55.8333,-0.0142861,0.694333
59.3439,58.9527,-71.2283,0.0109403,0.108082
50.6969,65.632,-87.3495,-0.00868489,0.0269768
88.0372,59.3765,-49.724,0.278081,14.7167
66.8314,70.2422,-89.0816,0.00215513,0.0525491
75.9388,75.124,-60.8043,-0.00153472,0.644971
75.608,94.1233,-76.2089,0.00945205,0.151648
57.942,60.5724,-53.9419,0.00217292,0.0338312
99.3769,57.7882,-74.8852,-0.00591608,0.0786433
55.4871,57.295,-86.9523,0.00766717,0.0666631
72.8074,93.5992,-60.0218,-0.0531683,3.20712
63.0708,86.083,-62.1768,0.0144599,0.8284
57.5757,88.8082,-86.876,-0.014677,0.0113231
70.2963,94.4117,-58.1491,-0.00390326,0.402406
66.9878,51.6456,-67.9978,0.00157074,0.0364021
62.7214,68.9439,-59.7283,-0.0528001,0.0925785
67.1989,89.8791,-74.2579,-0.00459607,0.185421
95.119,77.603,-48.6404,0.00256688,0.21267
58.2729,54.9182,-61.4377,-0.0384729,0.644978
98.7025,64.0124,-68.189,-0.0256199,2.89493
95.4605,81.0337,-60.0826,-0.011658,0.0322759
